Название товара;Крит. Ур.;Предкрит.ур.
Ранитидин;0;40
Фамотидин;0;37
Омепразол;0;38
Дротаверин;0;39
Бисакодил;0;39
Лоперамид;0;38
Бифидобактерии бифидум;0;37
Панкреатин;0;39
Аскорбиновая кислота;0;40
Атенолол;0;38
Верапамил;0;39
Каптоприл;0;39
Эналаприл;0;38
Лозартан;0;38
Амоксициллин;0;38
Ципрофлоксацин;0;40
Ацикловир;0;40
Осельтамивир;0;39
Кагоцел;0;40
Диклофенак;0;38
Ибупрофен;0;37
Парацетамол;0;38
Сальбутамол;0;40
Беклометазон;0;39
Аминофиллин;0;39
Хлоропирамин;0;38
Лоратадин;0;40
Тетрациклин;0;39
Пилокарпин;0;38
Тимолол;0;40
