Название товара;Крит. Ур.;Предкрит.ур.
Ранитидин;10;10
Фамотидин;15;15
Омепразол;13;13
Дротаверин;14;14
Бисакодил;5;5
Лоперамид;9;9
Бифидобактерии бифидум;11;11
Панкреатин;8;8
Аскорбиновая кислота;3;3
Атенолол;2;2
Верапамил;7;7
Каптоприл;14;14
Эналаприл;15;15
Лозартан;13;13
Амоксициллин;12;12
Ципрофлоксацин;3;3
Ацикловир;7;7
Осельтамивир;14;14
Кагоцел;2;2
Диклофенак;10;10
Ибупрофен;6;6
Парацетамол;8;8
Сальбутамол;9;9
Беклометазон;10;10
Аминофиллин;1;1
Хлоропирамин;13;13
Лоратадин;14;14
Тетрациклин;13;13
Пилокарпин;10;10
Тимолол;4;4
