Название товара;Крит. Ур.;Предкрит.ур.
Ранитидин;30;40
Фамотидин;30;37
Омепразол;30;38
Дротаверин;30;39
Бисакодил;30;39
Лоперамид;28;38
Бифидобактерии бифидум;28;37
Панкреатин;28;39
Аскорбиновая кислота;28;40
Атенолол;29;38
Верапамил;29;39
Каптоприл;27;39
Эналаприл;25;38
Лозартан;27;38
Амоксициллин;27;38
Ципрофлоксацин;27;40
Ацикловир;30;40
Осельтамивир;29;39
Кагоцел;27;40
Диклофенак;27;38
Ибупрофен;29;37
Парацетамол;28;38
Сальбутамол;29;40
Беклометазон;30;39
Аминофиллин;29;39
Хлоропирамин;27;38
Лоратадин;29;40
Тетрациклин;28;39
Пилокарпин;29;38
Тимолол;30;40
